sic,tlabel,stmt,num_companies,total_value,avg_value
4924,"Dividends, Common Stock, Cash",EQ,5,22484817000.00,58554210.937500
4700,"Temporary Equity, Carrying Amount, Attributable to Parent",EQ,2,22473007246.00,107014320.219048
4700,"APIC, Share-Based Payment Arrangement, Increase for Cost Recognition",EQ,15,21944485870.00,37068388.293919
4512,"Other Comprehensive Income (Loss), Net of Tax",EQ,7,21770792476.00,36837212.311337
4841,"Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders",EQ,7,20739072000.00,29209960.563380
4400,"Issuance of common stock and warrants, net of issuance costs",EQ,11,20720801204.00,131144311.417722
4813,Comprehensive income,EQ,3,20682541000.00,422092673.469388
4813,"Noncontrolling Interest, Increase from Subsidiary Equity Issuance",EQ,7,20319764000.00,84314373.443983
4932,"Stock Repurchased During Period, Value",EQ,2,20054102000.00,129381303.225806
4833,Net Income (Loss) Attributable to Parent,EQ,4,20025473970.00,40131210.360721
4911,"Limited Partners' Capital Account, Distribution Amount",EQ,2,20013000000.00,66933110.367893
4400,"Net Loss January 31,2023",EQ,8,19906403957.00,94792399.795238
4924,"Dividends, Common Stock",EQ,5,19699218000.00,23451450.000000
4833,Dividends,EQ,3,19678762000.00,106949793.478261
4911,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest, Including Rounding Adjustments",EQ,2,19429000000.00,93408653.846154
4841,"Stock Issued During Period, Value, New Issues",EQ,9,19352125095.00,87964204.977273
4812,Comprehensive income,EQ,4,19256000000.00,83721739.130435
4923,"Stock Issued During Period, Value, New Issues",EQ,6,19051340302.00,64580814.583051
4924,"Net Loss January 31,2023",EQ,4,19023916960.00,174531348.256881
4924,"Stock Issued During Period, Value, New Issues",EQ,10,18274718464.00,54879034.426426
4911,"Comprehensive Income (Loss), Net of Tax, Including Portion Attributable to Noncontrolling Interest",EQ,2,17780511000.00,227955269.230769
4731,Equity,EQ,2,17661978000.00,42868878.640777
4833,"Stock Repurchased During Period, Value",EQ,6,17590068000.00,96648725.274725
4512,"Other Comprehensive Income (Loss), Net of Tax, Portion Attributable to Parent",EQ,3,17177974000.00,38689130.630631
4931,"Noncontrolling Interest, Increase from Sale of Parent Equity Interest",EQ,3,17103000000.00,198872093.023256
4922,"Adjustments to Additional Paid in Capital, Dividends in Excess of Retained Earnings",EQ,2,16800776000.00,101822884.848485
4700,Share-based expense,EQ,14,16592743420.00,40470105.902439
4931,"Treasury Stock, Value, Acquired, Cost Method",EQ,3,16535170000.00,330703400.000000
4932,"Stock Issued During Period, Value, New Issues",EQ,6,16326354826.00,69473850.323404
4922,"Noncontrolling Interest, Increase from Sale of Parent Equity Interest",EQ,5,15899680000.00,294438518.518519
4813,"Temporary Equity, Carrying Amount, Attributable to Parent",EQ,3,15720933000.00,61650717.647059
4011,"Other Comprehensive Income (Loss), Net of Tax, Portion Attributable to Parent",EQ,3,15684000000.00,26583050.847458
4412,"Net Loss January 31,2023",EQ,11,15666349263.00,47618082.866261
4833,"Dividends, Common Stock, Cash",EQ,3,15502758000.00,93390108.433735
4911,Comprehensive income,EQ,7,15136243000.00,26096970.689655
4932,Stockholders' Equity Attributable to Parent,EQ,3,15126584234.00,30013063.956349
4011,"Net Income (Loss), Including Portion Attributable to Noncontrolling Interest",EQ,2,15069799000.00,117732804.687500
4813,"Adjustments to Additional Paid in Capital, Dividends in Excess of Retained Earnings",EQ,2,14962746000.00,237503904.761905
4700,"Stock Issued During Period, Value, Acquisitions",EQ,13,14543026272.00,68277118.647887
4922,"Redeemable Noncontrolling Interest, Equity, Carrying Amount",EQ,2,14473872000.00,241231200.000000
4922,"Partners' Capital Account, Contributions",EQ,4,14458718000.00,61789393.162393
