sic,tlabel,stmt,num_companies,total_value,avg_value
4512,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,93483162000.00,1.08701e+09
4911,Treasury Stock, Value, Acquired, Cost Method,EQ,11,92703404000.00,2.5468e+08
4924,Partners Capital Account Distributions, Non-Cash,EQ,3,92322000000.00,1.48906e+09
4412,Partners' Capital,EQ,2,91762637000.00,5.42974e+08
4955,Stockholders' Equity Attributable to Parent,EQ,6,89449686590.00,9.71224e+07
4610,Net Loss January 31,2023,EQ,4,88319558000.00,3.49089e+08
4822,Stockholders' Equity Attributable to Parent,EQ,5,87699877274.00,7.54732e+07
4522,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,2,85807666000.00,1.64068e+08
4911,Dividends,EQ,3,82266000000.00,3.84421e+08
4400,Stock Issued During Period, Value, New Issues,EQ,15,81214115943.00,2.33374e+08
4953,Dividends, Common Stock, Cash,EQ,4,80040970000.00,2.76003e+08
4812,Stock Issued During Period, Value, New Issues,EQ,3,79551961392.00,8.20123e+08
4924,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,6,77237071267.00,2.08186e+08
4400,Increase (decrease) through acquisition of subsidiary, equity,EQ,2,74270153000.00,2.65251e+09
4941,Net Income (Loss) Attributable to Parent,EQ,10,73446006000.00,6.22424e+07
4011,Dividends, Common Stock, Cash,EQ,3,73340800000.00,3.30364e+08
4812,Net loss,EQ,5,71732029793.00,4.68837e+08
4932,Noncontrolling Interest, Increase from Sale of Parent Equity Interest,EQ,2,71543256000.00,4.5569e+08
4911,Payments of Dividends,EQ,2,70829000000.00,3.57722e+08
4522,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,5,69206244000.00,7.63866e+07
4911,Other Comprehensive Income (Loss), Net of Tax,EQ,30,69072995866.00,1.11086e+07
4923,Dividends, Common Stock,EQ,2,68058871000.00,2.29154e+08
4610,Partners' Capital Account, Acquisitions,EQ,4,67419078000.00,7.93166e+08
4953,Net Loss January 31,2023,EQ,6,65817001188.00,2.30937e+08
4911,Stock Issued During Period, Value, Acquisitions,EQ,11,65372776778.00,3.91454e+08
4941,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,4,64452371308.00,1.92971e+08
4911,Other comprehensive income,EQ,10,63926999000.00,6.25509e+07
4213,Net loss,EQ,13,63329741000.00,8.7231e+07
4841,Noncontrolling Interest, Decrease from Redemptions or Purchase of Interests,EQ,6,62747102000.00,1.5455e+08
4841,Treasury Stock, Retired, Cost Method, Amount,EQ,2,60248220000.00,9.41378e+08
4911,Noncontrolling Interest, Increase from Subsidiary Equity Issuance,EQ,11,58651134796.00,1.03078e+08
4731,Stock Repurchased During Period, Value,EQ,4,58475600000.00,1.2259e+08
4931,Comprehensive Income (Loss), Net of Tax, Including Portion Attributable to Noncontrolling Interest,EQ,2,57941400000.00,3.71419e+08
4813,Stock Issued During Period, Value, New Issues,EQ,15,57143833544.00,1.43577e+08
4911,Stock Repurchased During Period, Value,EQ,6,57048470904.00,1.77169e+08
4841,Share-based expense,EQ,16,56202935958.00,8.28952e+07
4931,Other Comprehensive Income (Loss), Net of Tax,EQ,10,56027179000.00,3.10744e+07
4953,Treasury Stock, Value, Acquired, Cost Method,EQ,2,55475600000.00,3.57907e+08
4512,Stock Issued During Period, Value, New Issues,EQ,9,55410319506.00,4.07429e+08
4953,Equity, Attributable to Parent,EQ,6,55217531656.00,4.33759e+07
4923,Stock Issued During Period, Value, Acquisitions,EQ,2,55104834000.00,4.59207e+09
